,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,"[(557.0, 155.0), (553.0, 156.0)]","[(557.0, 154.0), (554.0, 154.0)]","[(557.0, 157.0), (553.0, 156.0)]","[(557.0, 159.0), (554.0, 159.0)]","[(557.0, 160.0), (553.0, 160.0)]",,,,,,,,,,
17,"[(375.0, 83.0), (364.0, 83.0)]","[(369.0, 80.0), (357.0, 80.0)]","[(363.0, 79.0), (350.0, 79.0)]","[(356.0, 79.0), (343.0, 79.0)]","[(349.0, 76.0), (336.0, 76.0)]","[(340.0, 71.0), (326.4000244140625, 70.80000305175781)]",,,,,,,,,
18,"[(418.8000183105469, 218.40000915527344), (402.0000305175781, 218.40000915527344)]","[(411.6000061035156, 219.60000610351562), (394.8000183105469, 219.60000610351562)]",,,,,,,,,,,,,
19,"[(127.20000457763672, 174.0), (105.60000610351562, 175.20001220703125)]","[(99.60000610351562, 174.0), (76.80000305175781, 174.0)]",,,,,,,,,,,,,
20,"[(502.8000183105469, 164.40000915527344), (495.6000061035156, 165.60000610351562)]","[(501.6000061035156, 164.40000915527344), (494.4000244140625, 164.40000915527344)]",,,,,,,,,,,,,
21,"[(531.6000366210938, 184.8000030517578), (524.4000244140625, 184.8000030517578)]","[(530.4000244140625, 183.60000610351562), (523.2000122070312, 184.8000030517578)]","[(529.2000122070312, 186.0), (520.800048828125, 186.0)]","[(528.0, 189.60000610351562), (520.800048828125, 189.60000610351562)]","[(526.800048828125, 190.8000030517578), (519.6000366210938, 190.8000030517578)]","[(525.6000366210938, 188.40000915527344), (518.4000244140625, 189.60000610351562)]",,,,,,,,,
22,"[(662.4000244140625, 156.0), (657.6000366210938, 156.0)]","[(663.6000366210938, 154.8000030517578), (660.9600219726562, 154.0800018310547)]","[(664.800048828125, 157.20001220703125), (660.0, 157.20001220703125)]",,,,,,,,,,,,
23,"[(475.20001220703125, 94.80000305175781), (470.4000244140625, 94.80000305175781)]","[(474.0000305175781, 92.4000015258789), (349.20001220703125, 91.20000457763672)]",,,,,,,,,,,,,
24,"[(512.4000244140625, 152.40000915527344), (506.4000244140625, 151.20001220703125)]","[(511.20001220703125, 151.20001220703125), (504.0000305175781, 149.760009765625)]","[(510.0000305175781, 152.40000915527344), (502.8000183105469, 152.40000915527344)]",,,,,,,,,,,,
25,"[(370.8000183105469, 141.60000610351562), (360.0, 141.60000610351562)]","[(364.8000183105469, 139.20001220703125), (352.8000183105469, 139.20001220703125)]",,,,,,,,,,,,,
26,"[(733.2000122070312, 139.20001220703125), (723.6000366210938, 139.20001220703125)]","[(736.800048828125, 138.0), (727.2000122070312, 136.8000030517578)]",,,,,,,,,,,,,
27,"[(198.00001525878906, 120.00000762939453), (178.8000030517578, 120.00000762939453)]","[(178.8000030517578, 116.4000015258789), (158.40000915527344, 116.4000015258789)]","[(156.0, 115.20000457763672), (134.40000915527344, 115.20000457763672)]",,,,,,,,,,,,
28,"[(480.0000305175781, 96.0), (476.4000244140625, 96.0)]","[(478.8000183105469, 94.80000305175781), (716.6363525390625, 95.551513671875)]",,,,,,,,,,,,,
29,"[(662.4000244140625, 155.52000427246094), (658.0800170898438, 155.52000427246094)]","[(665.280029296875, 154.0800018310547), (660.9600219726562, 154.0800018310547)]",,,,,,,,,,,,,
30,"[(512.6400146484375, 152.63999938964844), (506.8800048828125, 151.20001220703125)]","[(511.20001220703125, 151.20001220703125), (504.5760498046875, 150.3360137939453)]","[(509.7600402832031, 152.0640106201172), (502.5600280761719, 152.63999938964844)]","[(509.7600402832031, 155.52001953125), (502.8480529785156, 155.52001953125)]","[(508.03204345703125, 155.52001953125), (501.12005615234375, 155.52001953125)]",,,,,,,,,,
31,"[(226.0800018310547, 175.6800079345703), (208.8000030517578, 174.24000549316406)]","[(208.8000030517578, 174.24000549316406), (190.0800018310547, 174.24000549316406)]",,,,,,,,,,,,,
32,"[(201.60000610351562, 138.24000549316406), (182.8800048828125, 138.24000549316406)]","[(181.44000244140625, 135.36000061035156), (161.27999877929688, 135.36000061035156)]",,,,,,,,,,,,,
33,"[(423.3600158691406, 216.00001525878906), (407.52001953125, 214.5600128173828)]","[(416.1600036621094, 216.00001525878906), (398.4000244140625, 216.00001525878906)]","[(407.52001953125, 220.32000732421875), (388.8000183105469, 220.32000732421875)]","[(398.8800048828125, 224.6400146484375), (380.1600036621094, 226.0800018310547)]",,,,,,,,,,,
34,"[(411.84002685546875, 129.60000610351562), (404.4000244140625, 128.40000915527344)]","[(407.52001953125, 126.72000122070312), (400.32000732421875, 126.72000122070312)]","[(404.6400146484375, 128.16000366210938), (396.0000305175781, 128.16000366210938)]",,,,,,,,,,,,
35,"[(370.08001708984375, 142.5600128173828), (360.0, 142.5600128173828)]","[(364.32000732421875, 141.12001037597656), (352.8000183105469, 141.12001037597656)]","[(358.5600280761719, 141.12001037597656), (345.6000061035156, 141.12001037597656)]","[(351.3600158691406, 142.5600128173828), (338.4000244140625, 142.5600128173828)]","[(342.7200012207031, 142.5600128173828), (331.20001220703125, 144.0)]",,,,,,,,,,
36,"[(722.8800048828125, 99.36000061035156), (709.9200439453125, 99.36000061035156)]","[(728.6400146484375, 96.4800033569336), (714.2400512695312, 96.4800033569336)]",,,,,,,,,,,,,
37,"[(662.4000244140625, 146.8800048828125), (658.0800170898438, 146.8800048828125)]","[(663.8400268554688, 146.8800048828125), (658.0800170898438, 146.8800048828125)]","[(665.280029296875, 148.32000732421875), (659.52001953125, 148.32000732421875)]","[(666.7200317382812, 151.20001220703125), (660.9600219726562, 151.20001220703125)]","[(668.1600341796875, 151.20001220703125), (662.4000244140625, 151.20001220703125)]",,,,,,,,,,
38,"[(204.48001098632812, 135.36000061035156), (185.760009765625, 135.36000061035156)]","[(184.32000732421875, 132.48001098632812), (165.60000610351562, 132.48001098632812)]","[(162.72000122070312, 131.04000854492188), (142.5600128173828, 131.04000854492188)]",,,,,,,,,,,,
39,"[(737.280029296875, 118.08000183105469), (724.3200073242188, 116.64000701904297)]","[(741.6000366210938, 115.20000457763672), (727.2000122070312, 115.20000457763672)]",,,,,,,,,,,,,
40,"[(223.20001220703125, 56.160003662109375), (205.92001342773438, 56.160003662109375)]","[(205.92001342773438, 48.96000289916992), (187.20001220703125, 50.400001525878906)]","[(187.20001220703125, 44.6400032043457), (167.04000854492188, 46.08000183105469)]",,,,,,,,,,,,
41,"[(480.96002197265625, 95.04000091552734), (476.6400146484375, 95.04000091552734)]","[(479.52001953125, 93.60000610351562), (475.20001220703125, 93.60000610351562)]",,,,,,,,,,,,,
42,"[(523.5840454101562, 172.80001831054688), (518.4000244140625, 172.80001831054688)]","[(523.5840454101562, 171.072021484375), (518.4000244140625, 171.072021484375)]",,,,,,,,,,,,,
43,"[(203.90402221679688, 172.80001831054688), (184.89601135253906, 172.80001831054688)]","[(183.1680145263672, 172.80001831054688), (164.16001892089844, 172.80001831054688)]",,,,,,,,,,,,,
44,"[(226.36802673339844, 176.25601196289062), (207.36001586914062, 176.25601196289062)]","[(209.0880126953125, 174.52801513671875), (194.40000915527344, 175.6800079345703)]",,,,,,,,,,,,,
45,"[(447.5520324707031, 179.71202087402344), (438.91204833984375, 179.71202087402344)]","[(445.82403564453125, 177.98402404785156), (437.1840515136719, 177.98402404785156)]",,,,,,,,,,,,,
46,"[(352.51202392578125, 219.45602416992188), (326.592041015625, 219.45602416992188)]","[(335.2320251464844, 221.18402099609375), (307.5840148925781, 221.18402099609375)]",,,,,,,,,,,,,
47,"[(511.488037109375, 152.0640106201172), (506.3040466308594, 152.0640106201172)]","[(509.7600402832031, 150.3360137939453), (504.5760498046875, 150.3360137939453)]","[(509.7600402832031, 152.0640106201172), (502.5600280761719, 152.63999938964844)]",,,,,,,,,,,,
48,"[(661.8240356445312, 148.60801696777344), (656.6400756835938, 148.60801696777344)]","[(663.5520629882812, 146.88002014160156), (658.3680419921875, 148.60801696777344)]","[(663.5520629882812, 150.3360137939453), (660.0960693359375, 148.60801696777344)]","[(667.008056640625, 152.0640106201172), (660.0960693359375, 153.79200744628906)]","[(667.008056640625, 153.79200744628906), (661.8240356445312, 152.0640106201172)]",,,,,,,,,,
49,"[(528.76806640625, 184.89601135253906), (521.8560791015625, 184.89601135253906)]","[(528.76806640625, 184.89601135253906), (520.1280517578125, 184.89601135253906)]",,,,,,,,,,,,,
50,"[(202.176025390625, 139.968017578125), (183.1680145263672, 139.968017578125)]","[(181.4400177001953, 136.5120086669922), (162.43202209472656, 136.5120086669922)]","[(158.97601318359375, 134.7840118408203), (138.24002075195312, 136.5120086669922)]",,,,,,,,,,,,
51,"[(286.8480224609375, 176.25601196289062), (266.1120300292969, 176.25601196289062)]","[(267.84002685546875, 174.52801513671875), (257.760009765625, 175.6800079345703)]",,,,,,,,,,,,,
52,"[(136.5120086669922, 129.60000610351562), (115.77600860595703, 129.60000610351562)]","[(109.90081787109375, 124.416015625), (88.12800598144531, 126.14401245117188)]",,,,,,,,,,,,,
53,"[(203.21282958984375, 138.93121337890625), (184.55043029785156, 138.93121337890625)]","[(182.47682189941406, 136.8576202392578), (161.74082946777344, 136.8576202392578)]","[(159.66722106933594, 134.7840118408203), (138.93121337890625, 134.7840118408203)]","[(134.7840118408203, 134.7840118408203), (114.04801940917969, 134.7840118408203)]",,,,,,,,,,,
54,"[(126.48961639404297, 172.10882568359375), (105.75361633300781, 172.10882568359375)]","[(99.5328140258789, 172.10882568359375), (76.72321319580078, 172.10882568359375)]",,,,,,,,,,,,,
55,"[(203.21282958984375, 172.10882568359375), (184.55043029785156, 172.10882568359375)]","[(184.55043029785156, 172.10882568359375), (165.88803100585938, 172.10882568359375)]","[(161.7408447265625, 174.18243408203125), (141.8342742919922, 174.18243408203125)]",,,,,,,,,,,,
56,"[(447.8976745605469, 178.32962036132812), (439.603271484375, 178.32962036132812)]","[(445.8240661621094, 178.32962036132812), (437.9444274902344, 176.67076110839844)]",,,,,,,,,,,,,
57,"[(213.58082580566406, 80.87041473388672), (194.91842651367188, 80.87041473388672)]","[(194.91842651367188, 76.72321319580078), (176.67076110839844, 77.137939453125)]","[(176.2560272216797, 72.57601165771484), (157.5936279296875, 72.57601165771484)]",,,,,,,,,,,,
58,"[(226.02243041992188, 174.1824188232422), (207.3600311279297, 174.1824188232422)]","[(209.43362426757812, 174.1824188232422), (190.77122497558594, 174.1824188232422)]",,,,,,,,,,,,,
59,"[(136.85763549804688, 129.39266967773438), (114.4627456665039, 129.39266967773438)]","[(109.4861068725586, 124.41603088378906), (88.12800598144531, 126.14401245117188)]",,,,,,,,,,,,,
60,"[(204.0422821044922, 171.69412231445312), (184.55043029785156, 172.10882568359375)]","[(184.13572692871094, 171.69412231445312), (166.7174835205078, 171.69412231445312)]","[(161.7408447265625, 174.18243408203125), (141.8342742919922, 174.18243408203125)]",,,,,,,,,,,,
61,"[(320.99334716796875, 136.85763549804688), (310.54241943359375, 137.3553009033203)]","[(313.5284118652344, 134.36932373046875), (298.5984802246094, 134.36932373046875)]","[(301.58447265625, 134.36932373046875), (286.654541015625, 134.36932373046875)]",,,,,,,,,,,,
62,"[(487.7108459472656, 179.15908813476562), (480.2458801269531, 179.15908813476562)]","[(487.7108459472656, 176.67076110839844), (482.73419189453125, 176.67076110839844)]",,,,,,,,,,,,,
63,"[(423.0144958496094, 218.9722137451172), (408.0845642089844, 218.9722137451172)]","[(415.5495300292969, 218.9722137451172), (398.13128662109375, 218.9722137451172)]",,,,,,,,,,,,,
64,"[(201.55397033691406, 131.88099670410156), (184.13572692871094, 131.88099670410156)]","[(181.64739990234375, 129.39266967773438), (161.7408447265625, 129.39266967773438)]",,,,,,,,,,,,,
65,"[(367.276123046875, 188.11703491210938), (352.34619140625, 188.11703491210938)]","[(358.31817626953125, 188.11703491210938), (343.9854736328125, 186.32545471191406)]",,,,,,,,,,,,,
66,"[(203.04696655273438, 122.42537689208984), (182.14508056640625, 122.42537689208984)]","[(182.14508056640625, 119.43939208984375), (161.24317932128906, 119.43939208984375)]",,,,,,,,,,,,,
67,"[(662.8886108398438, 149.2992401123047), (659.9026489257812, 149.2992401123047)]","[(665.8746337890625, 149.2992401123047), (659.9026489257812, 149.2992401123047)]","[(665.8746337890625, 152.28521728515625), (659.9026489257812, 152.28521728515625)]",,,,,,,,,,,,
68,"[(364.2901611328125, 140.34127807617188), (355.3321838378906, 140.34127807617188)]","[(358.31817626953125, 137.3553009033203), (354.7350158691406, 136.16090393066406)]",,,,,,,,,,,,,
69,"[(486.71551513671875, 176.173095703125), (480.7435607910156, 176.173095703125)]","[(486.71551513671875, 176.173095703125), (477.757568359375, 176.173095703125)]",,,,,,,,,,,,,
70,"[(468.79962158203125, 176.173095703125), (458.64727783203125, 175.57591247558594)]","[(465.8136291503906, 176.173095703125), (459.8416748046875, 176.173095703125)]",,,,,,,,,,,,,
71,"[(204.24136352539062, 121.82818603515625), (182.14508056640625, 122.42537689208984)]","[(182.74227905273438, 118.24500274658203), (161.24317932128906, 119.43939208984375)]","[(161.24317932128906, 118.24500274658203), (137.3553009033203, 116.45340728759766)]",,,,,,,,,,,,
72,"[(447.8977355957031, 175.57591247558594), (440.7313537597656, 175.57591247558594)]","[(444.3145446777344, 175.57591247558594), (437.148193359375, 175.57591247558594)]",,,,,,,,,,,,,
73,"[(207.82455444335938, 171.99273681640625), (189.9086456298828, 171.99273681640625)]","[(189.9086456298828, 171.99273681640625), (168.4095458984375, 171.99273681640625)]",,,,,,,,,,,,,
74,,"[(209.0, 173.0), (189.0, 173.0)]","[(190.0, 174.0), (170.0, 174.0)]",,,,,,,,,,,,
75,,"[(416.0, 226.0), (398.0, 226.0)]","[(407.0, 231.0), (389.0, 230.0)]",,,,,,,,,,,,
76,,"[(563.0, 164.0), (560.0, 164.0)]","[(563.0, 166.0), (560.0, 166.0)]","[(563.0, 169.0), (558.0, 170.0)]","[(563.0, 170.0), (559.0, 171.0)]",,,,,,,,,,
77,,"[(365.0, 140.0), (353.0, 139.0)]","[(358.0, 140.0), (345.6000061035156, 140.40000915527344)]",,,,,,,,,,,,
78,,"[(232.0, 183.0), (213.60000610351562, 182.40000915527344)]","[(215.0, 185.0), (196.0, 185.0)]",,,,,,,,,,,,
79,,"[(664.0, 155.0), (659.0, 155.0)]","[(665.0, 158.0), (660.0, 158.0)]",,,,,,,,,,,,
80,,"[(424.0, 197.0), (407.0, 197.0)]","[(416.0, 200.0), (398.0, 200.0)]",,,,,,,,,,,,
81,,"[(561.6000366210938, 164.40000915527344), (558.0, 164.40000915527344)]","[(561.6000366210938, 166.8000030517578), (558.0, 166.8000030517578)]",,,,,,,,,,,,
82,,"[(514.800048828125, 182.40000915527344), (507.6000061035156, 182.40000915527344)]","[(513.6000366210938, 184.8000030517578), (505.20001220703125, 184.8000030517578)]","[(512.4000244140625, 188.40000915527344), (504.0000305175781, 188.40000915527344)]","[(511.20001220703125, 189.60000610351562), (502.8000183105469, 189.60000610351562)]",,,,,,,,,,
83,,"[(208.8000030517578, 172.8000030517578), (190.8000030517578, 172.8000030517578)]","[(189.60000610351562, 175.20001220703125), (169.20001220703125, 175.20001220703125)]","[(168.48001098632812, 178.5600128173828), (149.760009765625, 177.12001037597656)]","[(145.44000244140625, 178.5600128173828), (123.84000396728516, 178.5600128173828)]","[(119.52000427246094, 175.6800079345703), (96.4800033569336, 175.6800079345703)]",,,,,,,,,
84,,"[(338.4000244140625, 223.20001220703125), (310.8000183105469, 222.00001525878906)]","[(315.3600158691406, 226.0800018310547), (286.55999755859375, 226.0800018310547)]",,,,,,,,,,,,
85,,"[(408.0000305175781, 127.20000457763672), (400.8000183105469, 127.20000457763672)]","[(404.4000244140625, 128.40000915527344), (396.0000305175781, 128.40000915527344)]",,,,,,,,,,,,
86,,"[(601.2000122070312, 180.0), (595.2000122070312, 180.0)]","[(601.2000122070312, 182.40000915527344), (594.0, 181.20001220703125)]","[(602.4000244140625, 184.8000030517578), (595.2000122070312, 184.8000030517578)]",,,,,,,,,,,
87,,"[(182.8800048828125, 172.8000030517578), (164.16000366210938, 172.8000030517578)]","[(161.27999877929688, 174.24000549316406), (139.6800079345703, 175.6800079345703)]",,,,,,,,,,,,
88,,"[(178.5600128173828, 116.64000701904297), (158.40000915527344, 116.64000701904297)]","[(156.9600067138672, 115.20000457763672), (135.36000061035156, 115.20000457763672)]",,,,,,,,,,,,
89,,"[(501.1200256347656, 162.72000122070312), (493.9200134277344, 164.16000366210938)]","[(499.6800231933594, 165.60000610351562), (492.4800109863281, 165.60000610351562)]",,,,,,,,,,,,
90,,"[(665.2800903320312, 153.79200744628906), (660.9600219726562, 154.0800018310547)]","[(665.2800903320312, 157.24801635742188), (661.8240356445312, 157.24801635742188)]","[(668.736083984375, 158.97601318359375), (663.5520629882812, 158.97601318359375)]","[(670.4640502929688, 160.70401000976562), (663.5520629882812, 160.70401000976562)]","[(670.4640502929688, 157.24801635742188), (665.2800903320312, 157.24801635742188)]",,,,,,,,,
91,,"[(276.48004150390625, 241.92002868652344), (241.92002868652344, 241.92002868652344)]","[(245.3760223388672, 250.56002807617188), (209.0880126953125, 250.56002807617188)]","[(209.43362426757812, 259.2000427246094), (170.03521728515625, 259.2000427246094)]","[(166.7174835205078, 268.7386169433594), (121.9277114868164, 268.7386169433594)]",,,,,,,,,,
92,,"[(416.4480285644531, 217.72802734375), (403.20001220703125, 218.8800048828125)]","[(407.80804443359375, 221.18402099609375), (388.8000183105469, 220.32000732421875)]","[(399.16802978515625, 226.36802673339844), (380.1600341796875, 226.36802673339844)]","[(388.800048828125, 229.8240203857422), (368.6400146484375, 228.9600067138672)]",,,,,,,,,,
93,,"[(476.9280700683594, 89.16481018066406), (470.707275390625, 89.16481018066406)]","[(474.8544616699219, 91.23841094970703), (470.707275390625, 91.23841094970703)]","[(474.8544616699219, 93.31201171875), (470.707275390625, 93.31201171875)]","[(472.7808532714844, 93.31201171875), (468.6336669921875, 93.31201171875)]","[(472.7808532714844, 89.16481018066406), (466.56005859375, 89.16481018066406)]",,,,,,,,,
94,,"[(311.0400390625, 134.7840118408203), (296.52484130859375, 134.7840118408203)]","[(300.6720275878906, 134.7840118408203), (286.1568298339844, 134.7840118408203)]","[(288.5760192871094, 136.5120086669922), (273.0240173339844, 136.5120086669922)]",,,,,,,,,,,
95,,"[(335.9232482910156, 221.87522888183594), (307.5840148925781, 221.18402099609375)]","[(315.187255859375, 226.02243041992188), (286.1568603515625, 226.4371795654297)]",,,,,,,,,,,,
96,,"[(277.8624267578125, 230.1696319580078), (244.68482971191406, 230.1696319580078)]","[(246.34373474121094, 238.8787841796875), (211.5072479248047, 238.8787841796875)]",,,,,,,,,,,,
97,,"[(184.55043029785156, 130.63682556152344), (163.81442260742188, 130.63682556152344)]","[(161.24317932128906, 134.36932373046875), (137.3553009033203, 134.36932373046875)]",,,,,,,,,,,,
98,,"[(360.8064880371094, 92.06786346435547), (348.3648681640625, 92.06786346435547)]","[(353.3415222167969, 92.06786346435547), (340.8999328613281, 92.06786346435547)]",,,,,,,,,,,,
99,,"[(311.0400695800781, 134.3693084716797), (298.5984802246094, 134.36932373046875)]","[(301.58447265625, 134.36932373046875), (286.654541015625, 134.36932373046875)]",,,,,,,,,,,,
100,,"[(209.01893615722656, 174.18243408203125), (189.11236572265625, 174.18243408203125)]","[(189.11236572265625, 176.67076110839844), (169.20579528808594, 176.67076110839844)]","[(169.20579528808594, 179.15908813476562), (149.2992401123047, 179.15908813476562)]","[(146.8109130859375, 179.15908813476562), (124.41603088378906, 179.15908813476562)]",,,,,,,,,,
101,,"[(664.381591796875, 151.7875518798828), (659.4049072265625, 153.44642639160156)]","[(666.8699340820312, 154.27587890625), (661.478515625, 155.52001953125)]",,,,,,,,,,,,
102,,"[(731.5662231445312, 97.04450225830078), (715.39208984375, 95.38561248779297)]","[(736.5429077148438, 97.04450225830078), (721.6129760742188, 97.04450225830078)]","[(741.51953125, 99.53282165527344), (725.5942993164062, 98.5374984741211)]","[(746.4962158203125, 98.5374984741211), (731.5662841796875, 98.5374984741211)]",,,,,,,,,,
103,,"[(361.3041687011719, 92.5655288696289), (348.3648681640625, 92.06786346435547)]","[(353.3415222167969, 92.06786346435547), (340.8999328613281, 92.06786346435547)]",,,,,,,,,,,,
104,,"[(382.2060546875, 179.15908813476562), (370.2621154785156, 179.15908813476562)]","[(376.23406982421875, 182.14508056640625), (360.8064880371094, 181.64739990234375)]",,,,,,,,,,,,
105,,"[(447.897705078125, 176.173095703125), (438.93975830078125, 176.173095703125)]","[(444.9117431640625, 179.15908813476562), (435.95379638671875, 179.15908813476562)]",,,,,,,,,,,,
106,,"[(365.48455810546875, 136.16090393066406), (354.7350158691406, 136.16090393066406)]","[(358.31817626953125, 136.16090393066406), (347.5686340332031, 136.16090393066406)]","[(343.9854736328125, 139.7440948486328), (333.23590087890625, 139.7440948486328)]","[(336.819091796875, 139.7440948486328), (322.4863586425781, 139.7440948486328)]","[(326.0695495605469, 136.16090393066406), (315.32000732421875, 136.16090393066406)]",,,,,,,,,
107,,"[(358.31817626953125, 186.32545471191406), (343.9854736328125, 186.32545471191406)]","[(351.1518249511719, 186.32545471191406), (336.819091796875, 186.32545471191406)]",,,,,,,,,,,,
108,,"[(716.6363525390625, 150.49363708496094), (704.6923828125, 152.28521728515625)]","[(720.2195434570312, 150.49363708496094), (707.6784057617188, 152.28521728515625)]",,,,,,,,,,,,
109,,"[(272.3218078613281, 232.9068145751953), (240.07318115234375, 232.9068145751953)]","[(243.6563720703125, 240.07318115234375), (207.82455444335938, 240.07318115234375)]",,,,,,,,,,,,
110,,"[(526.7277221679688, 182.74227905273438), (519.5613403320312, 182.74227905273438)]","[(523.14453125, 186.32545471191406), (515.9782104492188, 186.32545471191406)]",,,,,,,,,,,,
111,,,"[(403.0, 128.0), (394.0, 128.0)]","[(399.0, 130.0), (391.0, 130.0)]",,,,,,,,,,,
112,,,"[(553.0, 163.0), (549.0, 162.0)]","[(553.0, 165.0), (549.0, 164.0)]",,,,,,,,,,,
113,,,"[(505.0, 162.0), (498.0, 162.0)]","[(504.0, 165.0), (497.0, 165.0)]",,,,,,,,,,,
114,,,"[(601.0, 182.0), (594.0, 182.0)]","[(602.0, 185.0), (595.0, 184.0)]","[(603.0, 185.0), (596.0, 185.0)]","[(603.0, 183.0), (596.0, 183.0)]",,,,,,,,,
115,,,"[(473.0, 91.0), (468.0, 91.0)]","[(472.0, 93.0), (467.0, 93.0)]","[(471.0, 92.0), (467.0, 92.0)]","[(469.0, 89.0), (464.4000244140625, 88.80000305175781)]","[(468.0, 86.0), (462.0000305175781, 86.4000015258789)]",,,,,,,,
116,,,"[(294.0, 166.0), (279.0, 166.0)]","[(283.0, 168.0), (267.0, 168.0)]","[(271.0, 168.0), (255.0, 168.0)]",,,,,,,,,,
117,,,"[(488.0, 195.0), (475.0, 195.0)]","[(485.0, 199.0), (471.0, 198.0)]","[(481.0, 200.0), (467.0, 200.0)]",,,,,,,,,,
118,,,"[(676.800048828125, 102.00000762939453), (696.7296752929688, 103.68001556396484)]","[(680.4000244140625, 102.00000762939453), (699.8400268554688, 100.80000305175781)]",,,,,,,,,,,
119,,,"[(345.6000061035156, 192.0), (332.4000244140625, 192.0)]","[(337.20001220703125, 195.60000610351562), (322.8000183105469, 194.40000915527344)]",,,,,,,,,,,
120,,,"[(714.0, 140.40000915527344), (698.112060546875, 139.968017578125)]","[(718.56005859375, 142.5600128173828), (704.0, 144.0)]",,,,,,,,,,,
121,,,"[(408.0000305175781, 220.8000030517578), (388.8000183105469, 220.8000030517578)]","[(399.6000061035156, 225.60000610351562), (380.1600036621094, 226.0800018310547)]",,,,,,,,,,,
122,,,"[(315.6000061035156, 231.60000610351562), (286.55999755859375, 231.8400115966797)]","[(293.760009765625, 239.04000854492188), (260.6400146484375, 239.04000854492188)]","[(266.4000244140625, 244.8000030517578), (231.55201721191406, 245.3760223388672)]",,,,,,,,,,
123,,,"[(556.800048828125, 156.0), (553.0, 156.0)]","[(556.800048828125, 159.60000610351562), (553.2000122070312, 158.40000915527344)]",,,,,,,,,,,
124,,,"[(159.8400115966797, 135.36000061035156), (138.24000549316406, 135.36000061035156)]","[(135.36000061035156, 135.36000061035156), (113.76000213623047, 135.36000061035156)]","[(108.00000762939453, 132.48001098632812), (84.96000671386719, 132.48001098632812)]","[(76.0320053100586, 127.87200927734375), (51.840003967285156, 128.16000366210938)]",,,,,,,,,
125,,,"[(745.9200439453125, 118.08000183105469), (735.8400268554688, 116.64000701904297)]","[(751.6800537109375, 119.52000427246094), (740.1600341796875, 119.52000427246094)]","[(757.4400024414062, 119.52000427246094), (744.4800415039062, 119.52000427246094)]",,,,,,,,,,
126,,,"[(558.7200317382812, 182.8800048828125), (554.4000244140625, 182.8800048828125)]","[(558.7200317382812, 185.760009765625), (554.4000244140625, 185.760009765625)]",,,,,,,,,,,
127,,,"[(188.6400146484375, 175.6800079345703), (169.92001342773438, 175.6800079345703)]","[(168.48001098632812, 178.5600128173828), (149.760009765625, 177.12001037597656)]",,,,,,,,,,,
128,,,"[(528.4800415039062, 187.20001220703125), (521.280029296875, 187.20001220703125)]","[(527.0400390625, 190.0800018310547), (519.8400268554688, 190.0800018310547)]",,,,,,,,,,,
